12	tx_scheduler	lastRun	a:3:{s:5:"start";i:1719995529;s:3:"end";i:1719995529;s:4:"type";s:6:"manual";}
14	installUpdateRows	rowUpdatersDone	a:0:{}
16	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\BackendUserLanguageMigration	i:1;
17	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\MigrateExtensionDataImportRegistryKeysUpdate	i:1;
18	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\PageDoktypeLinkMigration	i:1;
19	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\PagesRecyclerDoktypeMigration	i:1;
20	installUpdate	TYPO3\\CMS\\Core\\Upgrades\\UserPermissionsForRenamedModulesMigration	i:1;
21	installUpdate	TYPO3\\CMS\\Frontend\\Upgrades\\SynchronizeColPosAndCTypeWithDefaultLanguage	i:1;
22	installUpdate	TYPO3\\CMS\\Form\\Upgrades\\FileFormsToDatabaseUpgradeWizard	i:1;
23	installUpdate	TYPO3\\CMS\\IndexedSearch\\Upgrades\\IndexedSearchCTypeMigration	i:1;
24	installUpdate	TYPO3\\CMS\\Linkvalidator\\Upgrades\\LinkValidatorFieldMigration	i:1;
25	installUpdate	TYPO3\\CMS\\Scheduler\\Migration\\SchedulerDatabaseStorageMigration	i:1;
26	installUpdate	TYPO3\\CMS\\Setup\\Upgrades\\UserSettingsMigration	i:1;
27	installUpdate	TYPO3\\CMS\\SysNote\\Migration\\SysNoteDashboardWidgetDatabaseMigration	i:1;
28	installUpdate	GeorgRinger\\News\\Updates\\NewsSlugUpdater	i:1;
29	installUpdate	GeorgRinger\\News\\Updates\\PluginPermissionUpdater	i:1;
30	installUpdate	GeorgRinger\\News\\Updates\\PluginUpdater	i:1;
31	installUpdate	GeorgRinger\\News\\Updates\\PopulateCategorySlugs	i:1;
32	installUpdate	GeorgRinger\\News\\Updates\\PopulateTagSlugs	i:1;
33	installUpdate	GeorgRinger\\News\\Updates\\RelatedLinkIntegerDefault	i:1;
34	installUpdate	GeorgRinger\\News\\Updates\\TitleFieldDefault	i:1;
